"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","MeasureID","CensusID","dbh","pom","hom","ExactDate","DFstatus","codes","nostems","status","date"
10350,10350,"1737",NA,"EUGEFI","C1",42.8,2.1,22564,5,13,"1.3",1.3,2003-03-25,"alive","L",1,"A",15789
10351,10351,"1738",NA,"GLUTWA","C1",42.3,2.5,22572,5,NA,"0",0,2003-03-25,"dead","D",1,"D",15789
10352,10352,"1739",NA,"CALOPC","C1",43.5,4.1,22580,5,NA,"0",0,2003-03-25,"dead","D",1,"D",15789
10353,10353,"1740",NA,"GYMNFA","C1",42.1,4.2,22588,5,NA,"0",0,2003-03-25,"missing","K",1,"A",15789
10354,10354,"1741",NA,"POPOTO","C1",43.5,4.8,22596,5,35,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10355,10355,"1742",NA,"SANT%%","C1",43.8,4.2,22604,5,NA,"0",0,2003-03-25,"dead","D",1,"D",15789
10356,10356,"1743",NA,"GARCEU","C1",43.9,3.7,22612,5,NA,"0",0,2003-03-25,"missing","K",1,"M",15789
10357,10357,"1744",NA,"GIROPA","C1",41,3.2,22620,5,27,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10358,10358,"1745",NA,"PHAEOP","C1",40.8,4.5,22628,5,12,"1.3",1.3,2003-03-25,"alive","L",1,"A",15789
10359,10359,"1747",NA,"GLUTWA","C1",44.5,5,22636,5,NA,"0",0,2003-03-24,"missing","K",1,"A",15788
10360,10360,"1748",NA,"GALEMA","C1",45,5.5,22644,5,NA,"0",0,2003-03-24,"missing","K",1,"A",15788
10361,10361,"1750",NA,"KNEMCI","C1",43.5,6,22652,5,15,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10362,10362,"1751",NA,"DIOSLA","C1",43,6,22660,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10363,10363,"1752",NA,"ALPHJO","C1",43.5,7.6,22668,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10364,10364,"1754",NA,"CANAPA","C1",42,6.5,22676,5,NA,"0",0,2003-03-24,"missing","K",1,"A",15788
10365,10365,"1755",NA,"STREEL","C1",42.7,8.3,22684,5,NA,"0",0,2003-03-24,"missing","K",1,"A",15788
10366,10366,"1756",NA,"XANTEU","C1",43,9,22692,5,NA,"0",0,2003-03-24,"missing","K",1,"A",15788
10367,10367,"1757",NA,"MADHMA","C1",42.5,9.2,22700,5,231,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10368,10368,"1758",NA,"CANAPA","C1",42.5,10.5,22708,5,30,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10369,10369,"1760",NA,"STREEL","C1",43.8,11.3,22716,5,35,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
