"sp","Latin","Genus","Species","Family","SpeciesID","Authority","IDLevel","syn","subsp"
"SANTAP","Santiria apiculata","Santiria","apiculata","Burseraceae",606,"A.W.Benn.","species",NA,NA
"SANTGR","Santiria griffithii","Santiria","griffithii","Burseraceae",607,"Engl.","species",NA,NA
"SANTLA","Santiria laevigata","Santiria","laevigata","Burseraceae",608,"Blume","species",NA,NA
"SANTRU","Santiria rubiginosa","Santiria","rubiginosa","Burseraceae",612,"Blume","species",NA,NA
"SAPRGL","Saprosma glomerulatum","Saprosma","glomerulatum","Rubiaceae",616,"King & Gamble","species",NA,NA
"SCAPMA","Scaphium macropodum","Scaphium","macropodum","Malvaceae",618,"Beumee ex K.Heyne","species",NA,NA
"SCLEWA","Scleropyrum wallichianum","Scleropyrum","wallichianum","Santalaceae",619,"Arn.","species",NA,NA
"SCORBO","Scorodocarpus borneensis","Scorodocarpus","borneensis","Erythropalaceae",620,"Becc.","species",NA,NA
"SHORCU","Shorea curtisii","Shorea","curtisii","Dipterocarpaceae",622,"Dyer ex King","species",NA,NA
"SHORHB","Shorea hybrid curtisii x leprosula","Shorea","hybrid curtisii x leprosula","Dipterocarpaceae",625,NA,"genus",NA,NA
"SHORLE","Shorea leprosula","Shorea","leprosula","Dipterocarpaceae",628,"Miq.","species",NA,NA
"SHOROC","Shorea ochrophloia","Shorea","ochrophloia","Dipterocarpaceae",630,"Strugnell ex Desch","species",NA,NA
"SINDCO","Sindora coriacea","Sindora","coriacea","Fabaceae-caesalpinioideae",635,"Prain","species",NA,NA
"SINDEC","Sindora echinocalyx","Sindora","echinocalyx","Fabaceae-caesalpinioideae",636,"Prain","species",NA,NA
"STEMMA","Stemonurus malaccensis","Stemonurus","malaccensis","Stemonuraceae",642,"(Mast.) Sleumer","species",NA,NA
"STERCO","Sterculia coccinea","Sterculia","coccinea","Malvaceae",643,"Roxb. & G.Don","species",NA,NA
"STERPL","Sterculia parviflora","Sterculia","parviflora","Malvaceae",645,"(Ducke) E.L.Taylor ex Brako & Zarucchi","species",NA,NA
"STERRU","Sterculia rubiginosa","Sterculia","rubiginosa","Malvaceae",646,"Zoll. ex Miq.","species",NA,NA
"STREEL","Streblus elongatus","Streblus","elongatus","Moraceae",647,"(Miq.) Corner","species",NA,NA
"STROCE","Strombosia ceylanica","Strombosia","ceylanica","Erythropalaceae",648,"Gardn.","species",NA,NA
"STROJA","Strombosia javanica","Strombosia","javanica","Erythropalaceae",649,"Blume","species",NA,NA
